epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,203.908,0.78216,1.95754,0.7403,1.09811,0.73337,0.73585,0.78788,0.57975,0.41133,0.49057,0.29821,0.13964,1.01571,4.42073,1.02262,1.37816,0.0010892,0.0010892,0.0010892
94,205.722,0.8286,2.02496,0.7798,1.17951,0.73337,0.73585,0.78788,0.57975,0.41133,0.49057,0.29821,0.13964,1.01571,4.42073,1.02262,1.37816,0.0010793,0.0010793,0.0010793
95,207.566,0.736,1.91298,0.72359,1.11941,0.79928,0.77358,0.79921,0.56095,0.6201,0.60377,0.53653,0.26667,1.03777,3.32054,1.09306,1.42043,0.0010694,0.0010694,0.0010694
96,209.395,0.84475,1.85108,0.78493,1.16365,0.79928,0.77358,0.79921,0.56095,0.6201,0.60377,0.53653,0.26667,1.03777,3.32054,1.09306,1.42043,0.0010595,0.0010595,0.0010595
97,211.244,0.89043,2.11686,0.8325,1.22727,0.73585,0.84103,0.83841,0.56924,0.54435,0.60866,0.50712,0.20958,1.00397,3.29513,0.99893,1.40734,0.0010496,0.0010496,0.0010496
98,213.11,0.7877,2.06985,0.78007,1.16437,0.73585,0.84103,0.83841,0.56924,0.54435,0.60866,0.50712,0.20958,1.00397,3.29513,0.99893,1.40734,0.0010397,0.0010397,0.0010397
99,214.897,0.84309,1.83118,0.80443,1.19722,0.73585,0.84103,0.83841,0.56924,0.54435,0.60866,0.50712,0.20958,1.00397,3.29513,0.99893,1.40734,0.0010298,0.0010298,0.0010298
100,216.792,0.87874,1.95123,0.79476,1.18349,0.79532,0.73317,0.85585,0.56085,0.44332,0.5283,0.40744,0.15776,1.06438,4.21354,0.97021,1.41181,0.0010199,0.0010199,0.0010199
101,219.794,0.76219,1.54851,0.69575,1.101,0.79532,0.73317,0.85585,0.56085,0.44332,0.5283,0.40744,0.15776,1.06438,4.21354,0.97021,1.41181,0.00101,0.00101,0.00101
102,221.691,0.73939,1.97819,0.672,1.10418,0.79532,0.73317,0.85585,0.56085,0.44332,0.5283,0.40744,0.15776,1.06438,4.21354,0.97021,1.41181,0.0010001,0.0010001,0.0010001
103,223.673,0.78348,1.68798,0.71013,1.15788,0.67492,0.88679,0.8486,0.57587,0.52231,0.54717,0.46595,0.1838,1.01124,3.91862,0.90479,1.39395,0.0009902,0.0009902,0.0009902
104,225.548,0.78313,1.75409,0.75894,1.14321,0.67492,0.88679,0.8486,0.57587,0.52231,0.54717,0.46595,0.1838,1.01124,3.91862,0.90479,1.39395,0.0009803,0.0009803,0.0009803
105,227.379,0.82215,1.97962,0.80653,1.17792,0.69206,0.84906,0.84673,0.60101,0.7183,0.54717,0.6176,0.267,0.93835,3.08428,0.84115,1.36048,0.0009704,0.0009704,0.0009704
106,229.725,0.9,1.9609,0.86914,1.23751,0.69206,0.84906,0.84673,0.60101,0.7183,0.54717,0.6176,0.267,0.93835,3.08428,0.84115,1.36048,0.0009605,0.0009605,0.0009605
107,231.657,0.80969,1.71244,0.79648,1.13951,0.69206,0.84906,0.84673,0.60101,0.7183,0.54717,0.6176,0.267,0.93835,3.08428,0.84115,1.36048,0.0009506,0.0009506,0.0009506
108,233.66,0.81238,1.91863,0.75259,1.18388,0.82751,0.81473,0.89236,0.65493,0.78708,0.75472,0.79622,0.31206,0.84105,2.78501,0.79845,1.31117,0.0009407,0.0009407,0.0009407
109,235.547,0.78409,1.54684,0.7345,1.15132,0.82751,0.81473,0.89236,0.65493,0.78708,0.75472,0.79622,0.31206,0.84105,2.78501,0.79845,1.31117,0.0009308,0.0009308,0.0009308
110,237.564,0.74307,1.83545,0.71734,1.13245,0.82751,0.81473,0.89236,0.65493,0.78708,0.75472,0.79622,0.31206,0.84105,2.78501,0.79845,1.31117,0.0009209,0.0009209,0.0009209
111,241.087,0.79834,1.69915,0.78029,1.12044,0.79852,0.89742,0.89174,0.69875,0.75416,0.73585,0.71132,0.34489,0.78043,2.54571,0.74397,1.2513,0.000911,0.000911,0.000911
112,243.117,0.64017,1.23762,0.59557,0.9981,0.79852,0.89742,0.89174,0.69875,0.75416,0.73585,0.71132,0.34489,0.78043,2.54571,0.74397,1.2513,0.0009011,0.0009011,0.0009011
113,246.094,0.8424,1.92727,0.80319,1.17466,0.81086,0.88679,0.87569,0.69193,0.7076,0.77624,0.71934,0.34829,0.73183,2.59069,0.76575,1.18381,0.0008912,0.0008912,0.0008912
114,248.036,0.74263,1.77693,0.72463,1.15104,0.81086,0.88679,0.87569,0.69193,0.7076,0.77624,0.71934,0.34829,0.73183,2.59069,0.76575,1.18381,0.0008813,0.0008813,0.0008813
115,251.262,0.82194,1.8941,0.78077,1.16742,0.81086,0.88679,0.87569,0.69193,0.7076,0.77624,0.71934,0.34829,0.73183,2.59069,0.76575,1.18381,0.0008714,0.0008714,0.0008714
116,253.791,0.6667,1.46973,0.6527,1.06166,0.82421,0.86792,0.87985,0.68963,0.66136,0.69811,0.63758,0.28257,0.75946,2.75948,0.91818,1.18374,0.0008615,0.0008615,0.0008615
117,255.851,0.70996,1.56294,0.652,1.07234,0.82421,0.86792,0.87985,0.68963,0.66136,0.69811,0.63758,0.28257,0.75946,2.75948,0.91818,1.18374,0.0008516,0.0008516,0.0008516
118,258.306,0.63708,1.40381,0.59217,1.02741,0.82421,0.86792,0.87985,0.68963,0.66136,0.69811,0.63758,0.28257,0.75946,2.75948,0.91818,1.18374,0.0008417,0.0008417,0.0008417
119,260.526,0.79132,1.65487,0.7379,1.16255,0.72454,0.89335,0.85902,0.68169,0.62385,0.68852,0.64427,0.27663,0.81741,2.90455,1.30059,1.19833,0.0008318,0.0008318,0.0008318
120,262.739,0.74469,1.48036,0.67718,1.09832,0.72454,0.89335,0.85902,0.68169,0.62385,0.68852,0.64427,0.27663,0.81741,2.90455,1.30059,1.19833,0.0008219,0.0008219,0.0008219
121,264.719,0.71274,1.62404,0.63857,1.08319,0.78095,0.9434,0.88951,0.7173,0.65432,0.78577,0.69427,0.35212,0.80207,2.66448,1.11184,1.19704,0.000812,0.000812,0.000812
122,266.642,0.66508,1.429,0.62729,1.04343,0.78095,0.9434,0.88951,0.7173,0.65432,0.78577,0.69427,0.35212,0.80207,2.66448,1.11184,1.19704,0.0008021,0.0008021,0.0008021
123,269.553,0.6799,1.33609,0.62855,1.03681,0.78095,0.9434,0.88951,0.7173,0.65432,0.78577,0.69427,0.35212,0.80207,2.66448,1.11184,1.19704,0.0007922,0.0007922,0.0007922
124,271.894,0.70367,1.46524,0.6262,1.04046,0.82268,0.9434,0.92639,0.75603,0.70405,0.81132,0.74424,0.39176,0.76625,2.41293,0.86499,1.1894,0.0007823,0.0007823,0.0007823
125,273.99,0.70788,1.58801,0.60105,1.04575,0.82268,0.9434,0.92639,0.75603,0.70405,0.81132,0.74424,0.39176,0.76625,2.41293,0.86499,1.1894,0.0007724,0.0007724,0.0007724
126,275.995,0.69618,1.22599,0.63811,1.02068,0.82268,0.9434,0.92639,0.75603,0.70405,0.81132,0.74424,0.39176,0.76625,2.41293,0.86499,1.1894,0.0007625,0.0007625,0.0007625
